Latitude,Longitude,#,Title,file#,מיקום גוף יוצר,Description,תיאור התיק,תקופת החומר מ,תקופת החומר עד,סוג התיק,שפה,סטטוס חשיפה,subjects,people,locations,events,organization,projects,מספר תיק לציטוט,מספר תיק,מספר תיק ישן,מספר מסמכים בתיק,זכויות יוצרים,מתאריך,עד תאריך,מזהה סימול מקורי,סוג מפה,קנה מידה,צבע,"רוחב בס""מ",אורך או גובה במטר,"סה""כ תצלומים",מקום הוצאה,תאריך התצלום,תאריך הפקה,סוג זיעור,מקומות הקשורים בפריט,סוג מוצג,תאריך הוצאה,מסמכים בתיק,סוג החומר המוצג,סוג פרסום,"עומק בס""מ",xfile?,url,ScanningDAte
33.12503835,35.61242532,16375,המועצה האזורית בגליל העליון,0b07170680439001,"משרד החינוך/משרד החינוך - לשכת המנכ""ל/המינהל הפדגוגי/אגף ארגון מוסדות חינוך","התכתבות בנושאים: הקמת מוסדות חינוך במועצה האזורית גליל עליון, הלוואות בנקים למועצה האזורית, תוכנית פיתוח מואץ של הגליל, מיגון מוסדות חינוך ועוד. נתונים סטטיסטיים.",,2/1/1972 0:00,9/30/1975 0:00,תיק מסמכים,,גלוי,שכר לימוד,,מועצה אזורית גליל עליון,,אגף ארגון מוסדות חינוך,,ISA-education-EducationalInstit-0002jy0,,גל - 6 / 18797,1,,2/1/1972 0:00,9/30/1975 0:00,206/6,,,,,,,,,,,מועצה אזורית גליל עליון,,,0002jy0,,,,,https://www.archives.gov.il/archives/#/Archive/0b0717068001a1f0/File/0b07170680439001,
32.9646301,35.502451,16395,המועצה להשכלה גבוהה  - ועדה להקמת אוניברסיטה בצפת ובגליל,0b071706804674a5,"משרד החינוך/משרד החינוך - לשכת המנכ""ל/המינהל הפדגוגי/אגף ארגון מוסדות חינוך",בדיקה להקמת אוניברסיטה בגליל בצפת,,1/1/1971 0:00,7/31/1971 0:00,תיק מסמכים,,גלוי,השכלה גבוהה,,צפת,,אגף ארגון מוסדות חינוך,,ISA-education-EducationalInstit-00033t0,,גל - 38 / 18813,1,,1/1/1971 0:00,7/31/1971 0:00,282/6,,,,,,,,,,,צפת,,,00033t0,,,,,https://www.archives.gov.il/archives/#/Archive/0b0717068001a1f0/File/0b071706804674a5,
33.2337137,35.578034,16471,פרשת תל-חי,0b071706804a5cfa,ארכיונים ואוספים אישיים/אוסף יד יצחק בן צבי/אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,שיר על יוסף טרומפלדור וחבריו. (תאריך משוער),,10/1/1966 0:00,4/30/1968 0:00,תיק מסמכים,,גלוי,"הקמת אתרי הנצחה ואנדרטאות לחללי צה""ל ולנפגעי פעולות איבה",יוסף טרומפלדור (1880 - 1920),תל חי,"קרב תל חי, מארס 1920",אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,,ISA-Privatecollections-YitzchakbenZviAr-0003gtd,,פ - 4 / 1947,1,,10/1/1966 0:00,4/30/1968 0:00,1/4/ה,,,,,,,,,,,תל חי,,,0003gtd,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800309b3/File/0b071706804a5cfa,
31.79592425,35.21198076,16478,נבנה את ירושלים/ א.ח. אלחנני,0b071706804a941f,ארכיונים ואוספים אישיים/אוסף יד יצחק בן צבי/אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,"הרשימה ""נבנה את ירושלים"" מאת אברהם חיים אלחנני (אלחנתי), לקראת הבחירות למועצת עיריית ירושלים. (תאריך משוער)",,11/1/1950 0:00,11/14/1950 0:00,תיק מסמכים,,גלוי,בחירות לרשויות המקומיות,,ירושלים,"הבחירות הראשונות לרשויות המקומיות במדינת ישראל, נובמבר 1950",אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,,ISA-Privatecollections-YitzchakbenZviAr-0003iaf,,פ - 3 / 1933,1,,11/1/1950 0:00,11/14/1950 0:00,1/4/13/3,,,,,,,,,,,ירושלים,,,0003iaf,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800309b3/File/0b071706804a941f,
33.2074733,35.5707828,16488,אגף התכנון - תוכניות בניה שיכונים - קרית-שמונה כרך א',0b071706804aed26,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",מסמכים ותוכניות מאגף התכנון במשרד הפנים בנוגע לבניית שיכונים בקריית שמונה ולתכנית המתאר במקום.,,11/20/1956 0:00,5/13/1957 0:00,תיק מסמכים,,גלוי,מדיניות שיכון לעולים,,קריית שמונה,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0003khn,,גל - 1 / 3874,1,,11/20/1956 0:00,5/13/1957 0:00,ק/5,,,,,,,,,,,קריית שמונה,,,ISA-MOIN-InteriorPlans-0003khn,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b071706804aed26,
33.2799815,35.5779451,16520,כתבים מאת רחל ינאית בן-צבי.,0b071706804c28aa,ארכיונים ואוספים אישיים/אוסף יד יצחק בן צבי/אוסף יד יצחק בן צבי - ארכיון רחל ינאית בן צבי,רשמים מהתיישבות בכפר גלעדי ותל-חי.,,1/1/1920 0:00,12/31/1940 0:00,תיק מסמכים,,גלוי,התיישבות באזורי ספר,יצחק בן-צבי (1884 - 1963),מטולה,,אוסף יד יצחק בן צבי - ארכיון רחל ינאית בן צבי,,ISA-Privatecollections-YanaitBenZvi-0003su4,,פ - 3 / 2187,1,,1/1/1920 0:00,12/31/1940 0:00,,,,,,,,,,,,תל חי,,,0003su4,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800309fa/File/0b071706804c28aa,
33.2417843,35.5749608,,,,,,,,,,,,,רחל ינאית בן-צבי (1886 - 1979),כפר גלעדי,,,,,,,,,,,,,,,,,,,,,,כפר גלעדי,,,,,,,,,
33.2337137,35.578034,,,,,,,,,,,,,זאב ז'בוטינסקי (1880 - 1940),תל חי,,,,,,,,,,,,,,,,,,,,,,מטולה,,,,,,,,,
32.0443395,34.7509908,16529,יצחק בן-צבי - הועידה השישית של מפלגת הפועלים העברים הסוציאל-דמוקרתים בארץ ישראל (פועלי ציון) - כרטיס כניסה לציר,0b071706804c38e5,ארכיונים ואוספים אישיים/אוסף יד יצחק בן צבי/אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,"כרטיס כניסה לציר הוועד המרכזי, של יצחק בן-צבי (ירושלים) לוועידה השישית של מפלגת הפועלים העברים הסוציאל-דמוקרתים בארץ ישראל (פועלי ציון). הוועידה נערכב ביפו ב-24-23 באפריל 1910.",,4/1/1910 0:00,4/23/1910 0:00,תיק מסמכים,,גלוי,,יצחק בן-צבי (1884 - 1963),יפו,,אוסף יד יצחק בן צבי - ארכיון יצחק בן צבי,,ISA-Privatecollections-YitzchakbenZviAr-0003t8m,,פ - 41 / 1922,1,,4/1/1910 0:00,4/23/1910 0:00,1/4/2/42,,,,,,,,,,,יפו,,,0003t8m,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800309b3/File/0b071706804c38e5,
32.0852997,34.7818064,16534,"שיקום שכונות חברתי - תל-אביב, נווה עופר",0b071706804cb6fb,"משרד הבינוי והשיכון/משרד הבינוי והשיכון - לשכת מנכ""ל/משרד הבינוי והשיכון - שיקום שכונות","מכתבים בנושא הכללת שכונות שפירא ונוה עופר בפרויקט שיקום השכונות והתקציב הנדרש לכך, תחרות הסוכה הנאה, משרות בשכונה, ועוד.",,6/6/1993 0:00,12/27/1994 0:00,תיק מסמכים,,גלוי,תקציב שיכון ובינוי,,תל אביב,,שיקום שכונות,פרוייקט שיקום שכונות,ISA-moch-ProjecrRenewal-0003wmx,,גל - 9 / 41091,1,,6/6/1993 0:00,12/27/1994 0:00,,,,,,,,,,,,תל אביב,,,ISA-moch-ProjecrRenewal-0003wmx,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680036e70/File/0b071706804cb6fb,
